boiler	ahd-legacy	noun	An enclosed vessel in which water is heated and circulated, either as hot water or as steam, for heating or power.
boiler	ahd-legacy	noun	A container, such as a kettle, for boiling liquids.
boiler	ahd-legacy	noun	A storage tank for hot water.
boiler	wiktionary	noun	An apparatus that generates heat (usually by burning fuel) and uses it to heat circulating water (or sometimes another liquid) in a closed system that is then used for space heating, swimming pool heating, or domestic hot water or industrial processes.
boiler	wiktionary	noun	Less commonly, a hot water heater.
boiler	wiktionary	noun	A fuel burning apparatus in which water is boiled to produce steam for space heating, power generation, or industrial processes. (more precisely) An apparatus in which a heat source other than a hot liquid or steam (most commonly burning fuel, exhaust gas from an internal combustion engine or gas turbine, waste heat from a process, solar energy or electricity) is used to boil water (or rarely another liquid), under pressure to provide steam (or other gas) for use as a heat source in calorifiers, heat exchangers or heat emitters, or for use directly for humidification, in an industrial process, or to power steam turbines.
boiler	wiktionary	noun	A kitchen vessel for steaming or boiling food.
boiler	wiktionary	noun	Boilerplate.
boiler	gcide	noun	One who boils.
boiler	gcide	noun	A vessel in which any thing is boiled.
boiler	gcide	noun	A strong metallic vessel, usually of wrought iron plates riveted together, or a composite structure variously formed, in which steam is generated for driving engines, or for heating, cooking, or other purposes.
boiler	gcide	noun	A sunken reef; esp., a coral reef on which the sea breaks heavily.
boiler	century	noun	A person who boils.
boiler	century	noun	A vessel in which anything is boiled.
boiler	century	noun	A strong metallic structure in which steam is generated for driving engines or for other purposes. See steam-boiler.
boiler	century	noun	Something, as a vegetable, that is suitable for boiling.
boiler	century	noun	A small isolated reef or atoll below water.
boiler	century	noun	A boiler whose cross-section is an oval or an ellipse.
boiler	century	noun	A boiler made up of a number of tubes in which steam is generated; a water-tube boiler.
boiler	wordnet	noun	sealed vessel where water is converted to steam
boiler	wordnet	noun	a metal pot for stewing or boiling; usually has a lid
criterion	ahd-legacy	noun	A standard, rule, or test on which a judgment or decision can be based. See Synonyms at standard.
criterion	wiktionary	noun	A standard or test by which individual things or people may be compared and judged.
criterion	gcide	noun	A standard of judging; any approved or established rule or test, by which facts, principles opinions, and conduct are tried in forming a correct judgment respecting them.
criterion	century	noun	A standard of judgment or criticism; a law, rule, or principle regarded as universally valid for the class of cases under consideration, by which matters of fact, propositions, opinions, or conduct can be tested in order to discover their truth or falsehood, or by which a correct judgment may be formed.
criterion	wordnet	noun	a basis for comparison; a reference point against which other things can be evaluated
criterion	wordnet	noun	the ideal in terms of which something can be judged
abbreviation	ahd-legacy	noun	The act or product of shortening.
abbreviation	ahd-legacy	noun	A shortened form of a word or phrase used chiefly in writing to represent the complete form, such as Mass. for Massachusetts or USMC for United States Marine Corps.
abbreviation	wiktionary	noun	A notation used in music score to denote a direction, as pp or mf.
abbreviation	wiktionary	noun	One or more dashes through the stem of a note, dividing it respectively into quavers, semiquavers, demisemiquavers, or hemidemisemiquavers.
abbreviation	wiktionary	noun	Any convenient short form used as a substitutuion for an understood or inferred whole.
abbreviation	wiktionary	noun	Loss during evolution of the final stages of the ancestral ontogenetic pattern.
abbreviation	wiktionary	noun	Reduction to lower terms, as a fraction.
abbreviation	gcide	noun	The act of shortening, or reducing.
abbreviation	gcide	noun	The result of abbreviating; an abridgment.
abbreviation	gcide	noun	The form to which a word or phrase is reduced by contraction and omission; a letter or letters, standing for a word or phrase of which they are a part; as, Gen. for Genesis; U.S.A. for United States of America.
abbreviation	gcide	noun	One dash, or more, through the stem of a note, dividing it respectively into quavers, semiquavers, or demi-semiquavers.
abbreviation	century	noun	The act of abbreviating, shortening, or contracting; the state of being abbreviated; abridgment.
abbreviation	century	noun	A shortened or contracted form; a part used for the whole.
abbreviation	century	noun	In mathematics, a reduction of fractions to the lowest terms.
abbreviation	century	noun	In music, a method of notation by means of which certain repeated notes, chords, or passages are indicated without being written out in full.
abbreviation	century	noun	;
abbreviation	wordnet	noun	a shortened form of a word or phrase
abbreviation	wordnet	noun	shortening something by omitting parts of it
hymn	ahd-legacy	noun	A song of praise or thanksgiving to God or a deity.
hymn	ahd-legacy	noun	A song of praise or joy; a paean.
hymn	ahd-legacy	verb-transitive	To praise, glorify, or worship in or as if in a hymn.
hymn	ahd-legacy	verb-intransitive	To sing hymns.
hymn	wiktionary	noun	A song of praise or worship.
hymn	wiktionary	verb	To sing a hymn; to praise or worship by singing.
hymn	gcide	noun	An ode or song of praise or adoration; especially, a religious ode, a sacred lyric; a song of praise or thanksgiving intended to be used in religious service
hymn	gcide	verb-transitive	To praise in song; to worship or extol by singing hymns; to sing.
hymn	gcide	verb-intransitive	To sing in praise or adoration.
hymn	century	noun	In general, a religious ode, song, or other poem: as, the Homeric hymns; the hymns of Pindar.
hymn	century	noun	Specifically A metrical formula of public worship, usually designed to be sung by a company of worshipers.
hymn	century	noun	In a narrow sense, an extra-Biblical poem of worship: opposed to psalm.
hymn	wordnet	verb	sing a hymn
hymn	wordnet	verb	praise by singing a hymn
hymn	wordnet	noun	a song of praise (to God or to a saint or to a nation)
poem	ahd-legacy	noun	A verbal composition designed to convey experiences, ideas, or emotions in a vivid and imaginative way, characterized by the use of language chosen for its sound and suggestive power and by the use of literary techniques such as meter, metaphor, and rhyme.
poem	ahd-legacy	noun	A composition in verse rather than in prose.
poem	ahd-legacy	noun	A literary composition written with an intensity or beauty of language more characteristic of poetry than of prose.
poem	ahd-legacy	noun	A creation, object, or experience having beauty suggestive of poetry.
poem	wiktionary	noun	A literary piece written in verse.
poem	wiktionary	noun	A piece of writing in the tradition of poetry, an instance of poetry.
poem	wiktionary	noun	A piece of poetic writing, that is with an intensity or depth of expression or inspiration greater than is usual in prose.
poem	gcide	noun	A metrical composition; a composition in verse written in certain measures, whether in blank verse or in rhyme, and characterized by imagination and poetic diction; -- contradistinguished from prose.
poem	gcide	noun	A composition, not in verse, of which the language is highly imaginative or impassioned
poem	century	noun	A written composition in metrical form; a composition characterized by its arrangement in verses or measures, whether in blank verse or in rime: as, a lyric poem; a pastoral poem.
poem	century	noun	A written composition which, though not in verse, is characterized by imaginative and poetic beauty in either the thought or the language: as, a prose poem.
poem	wordnet	noun	a composition written in metrical feet forming rhythmical lines
kinase	ahd-legacy	noun	Any of various enzymes that catalyze the transfer of a phosphate group from a donor, such as ADP or ATP, to an acceptor.
kinase	wiktionary	noun	Any of a group of enzymes that transfers phosphate groups from high-energy donor molecules, such as ATP, to specific target molecules (substrates); the process is termed phosphorylation.
kinase	gcide	noun	One of a class of enzymes that catalyze transfer of a phosphate group from ATP to another molecule; it is a type of phosphorylase.
kinase	century	noun	A ferment-like body which is capable of rendering physiologically active another ferment and thus produces chemical changes in a third body while in itself it is apparently inert.
kinase	wordnet	noun	an enzyme that catalyzes the conversion of a proenzyme to an active enzyme
actuality	ahd-legacy	noun	The state or fact of being actual; reality. See Synonyms at existence.
actuality	ahd-legacy	noun	Actual conditions or facts. Often used in the plural.
actuality	wiktionary	noun	the state of existing; existence
actuality	wiktionary	noun	the quality of being actual or factual; fact
actuality	wiktionary	noun	a short early motion picture
actuality	gcide	noun	The state of being actual; reality.
actuality	century	noun	The state of being actual, as opposed to potentiality; existence, as opposed to ideality.
actuality	century	noun	That in which anything is realized.
actuality	wordnet	noun	the state of actually existing objectively
academy	ahd-legacy	noun	A school for special instruction.
academy	ahd-legacy	noun	A secondary or college-preparatory school, especially a private one.
academy	ahd-legacy	noun	The academic community; academe: "When there's moral leadership from the White House and from the academy, people tend to adjust”  ( Jesse Jackson). 
academy	ahd-legacy	noun	Higher education in general. Used with the.
academy	ahd-legacy	noun	A society of scholars, scientists, or artists.
academy	ahd-legacy	noun	Plato's school for advanced education and the first institutional school of philosophy.
academy	ahd-legacy	noun	Platonism.
academy	ahd-legacy	noun	The disciples of Plato.
academy	wiktionary	noun	Academia.
academy	wiktionary	noun	A body of established opinion in a particular field, regarded as authoritative.
academy	gcide	noun	A garden or grove near Athens (so named from the hero Academus), where Plato and his followers held their philosophical conferences; hence, the school of philosophy of which Plato was head.
